"","playerId","season","name","team","position","games_played","icetime","shifts","gameScore","I_F_xGoals","I_F_xRebounds","Assists","I_F_points","I_F_goals","I_F_rebounds","I_F_hits","I_F_takeaways","I_F_giveaways","lowDangerGoaAbvExp","medDangerGoaAbvExp","highDangerGoaAbvExp","faceoffsWon","penalityMinutes","penalityMinutesDrawn","shotsBlockedByPlayer","subsetclust1"
"54",8476459,2021,"Mika Zibanejad","NYR","C",81,95415,1902,74.84,28.61,15.78,52,81,29,16,67,62,58,-2.12,0.76,0.97,700,12,26,47,2
"55",8478402,2023,"Connor McDavid","EDM","C",74,95363,1585,140.72,30.29,19.91,99,130,31,31,114,66,81,1.98,-6.94,4.25,434,30,78,38,2
"56",8477492,2022,"Nathan MacKinnon","COL","C",71,95072,1719,125.2,30.83,24.95,69,111,42,25,53,43,47,-4.79,-3.1,-3.28,519,30,62,40,2
"57",8471214,2021,"Alex Ovechkin","WSH","L",77,95042,1680,90.8,36.37,22.72,40,90,50,18,155,32,50,-7.28,-2.2,-4.16,4,18,22,25,2
"58",8476389,2022,"Vincent Trocheck","NYR","C",82,95034,1659,70.28,28.62,19.32,42,64,22,22,182,55,64,1.3,3.41,1.91,721,58,50,44,2
"59",8482116,2023,"Tim Sttzle","OTT","C",75,95033,1835,69.51,23.52,14.26,52,70,18,22,100,48,68,-0.12,0.13,5.51,239,28,78,41,2
"60",8476459,2023,"Mika Zibanejad","NYR","C",80,94838,1951,72.21,25.75,16.46,45,71,26,18,48,48,44,-2.39,-0.15,2.29,543,20,48,55,2
"61",8478010,2023,"Brayden Point","TBL","C",79,94830,1728,86.14,36.17,19.45,44,89,45,29,15,36,33,-6.85,-3.71,1.72,288,12,30,44,2
"62",8480012,2023,"Elias Pettersson","VAN","C",80,94598,1913,90.05,27.02,16.64,54,88,34,22,124,48,28,-5.72,-3.16,1.91,395,12,56,67,2
"63",8475692,2022,"Mats Zuccarello","MIN","R",78,94506,1492,69.38,20.43,13.98,45,67,22,18,51,45,44,-1.31,-2.23,1.97,24,26,42,51,2
"64",8478420,2021,"Mikko Rantanen","COL","R",75,94355,1808,105.19,30.68,19.51,56,92,36,19,58,48,49,0.87,-2.08,-4.11,164,56,64,43,2
"65",8478864,2023,"Kirill Kaprizov","MIN","L",73,94247,1521,95.44,37.63,22.34,49,93,44,28,54,38,71,-1.33,-1.27,-3.78,0,36,48,37,2
"66",8477404,2022,"Jake Guentzel","PIT","L",78,94143,1836,83.6,38.93,21.55,37,73,36,27,83,44,48,-0.43,2.26,1.11,8,46,58,46,2
"67",8474053,2022,"Logan Couture","SJS","C",82,94127,2055,56.73,25.65,16.49,40,67,27,21,128,71,35,-0.2,-2.79,1.64,640,19,15,70,2
"68",8477402,2023,"Pavel Buchnevich","STL","L",79,94100,1763,63.29,27.39,16.01,36,63,27,15,43,46,50,-0.48,-0.29,1.18,72,38,34,28,2
"69",8477946,2022,"Dylan Larkin","DET","C",80,93867,1814,71.84,27.39,17.99,47,79,32,25,47,56,47,-0.54,-2.29,-1.79,737,35,44,27,2
"70",8479407,2023,"Jesper Bratt","NJD","L",81,93753,2025,96.07,31.97,18.58,55,82,27,31,65,39,45,-0.81,2.34,3.45,8,12,38,33,2
"71",8480002,2022,"Nico Hischier","NJD","C",81,93746,2042,95.95,37.92,19.13,49,80,31,30,34,64,41,-4.52,3.74,7.7,891,10,54,61,2
"72",8476468,2023,"J.T. Miller","VAN","C",80,93687,2005,94.41,27.85,17.19,66,102,36,25,215,36,50,-6.9,0.23,-1.48,818,58,46,61,2
"73",8479337,2022,"Alex DeBrincat","OTT","R",82,93511,1844,68.13,28.32,19.2,39,66,27,30,109,44,39,1.64,-0.68,0.35,10,25,55,38,2
"74",8481559,2022,"Jack Hughes","NJD","C",78,93441,1740,114.74,36.58,22.68,56,99,43,23,12,60,85,-5.41,-2,1,164,6,42,30,2
"75",8477500,2023,"Bo Horvat","NYI","C",79,93343,1864,74.03,22.13,16.5,35,68,33,23,60,31,44,-6.59,-5.42,1.15,748,29,29,40,2
"76",8476456,2021,"Jonathan Huberdeau","FLA","L",80,93324,1839,109.37,27.52,16,85,115,30,23,99,63,85,-0.96,-2.65,1.12,18,34,56,28,2
"77",8471685,2023,"Anze Kopitar","LAK","C",79,93234,1791,71.78,17.97,10.03,44,70,26,16,35,48,35,-3.73,-4.48,0.18,848,12,24,64,2
"78",8476346,2022,"Johnny Gaudreau","CBJ","L",80,93207,1679,59.35,23.82,16.95,53,74,21,19,5,49,50,-0.77,0.9,2.69,0,22,44,18,2
"79",8481540,2023,"Cole Caufield","MTL","R",80,92932,1681,68.34,28.95,21.97,37,64,27,31,54,31,41,1.52,0.93,-0.5,7,16,38,21,2
"80",8478864,2021,"Kirill Kaprizov","MIN","L",81,92864,1576,112.88,31.19,20.64,61,108,47,19,73,57,72,-11.38,-3.32,-1.11,5,34,82,29,2
"81",8476460,2019,"Mark Scheifele","WPG","C",71,92844,1676,58.97,26.8,13.7,43,72,29,17,34,57,46,-5.51,4.44,-1.12,605,35,47,48,2
"82",8480027,2022,"Jason Robertson","DAL","L",82,92687,1815,119.72,30.92,21.78,63,109,46,30,57,62,66,-6.72,-7.34,-1.03,0,20,24,19,2
"83",8479542,2023,"Brandon Hagel","TBL","L",80,92614,1883,74.92,30.15,13.73,48,73,25,21,55,53,38,-0.89,-1,7.04,25,55,63,45,2
"84",8474150,2023,"Mikael Backlund","CGY","C",80,92614,1996,51.45,19.1,14.98,24,39,15,23,70,60,56,4.02,-1.52,1.61,759,24,22,33,2
"85",8473512,2022,"Claude Giroux","OTT","R",82,92476,2176,89.68,25.26,14.18,44,79,35,9,75,52,32,0.5,-6.33,-3.9,712,34,40,30,2
"86",8474564,2022,"Steven Stamkos","TBL","C",81,92441,1722,78.21,34.44,18.14,50,84,34,27,92,25,54,-0.8,-0.02,1.26,501,46,36,51,2
