playerId,season,name,team,position,games_played,icetime,GoalsSavedAbvExp,xGoals,goals,ReboundsAbvExp,XPlayConAbvExp,lowDangerGoalAbvExp,medDangerGoalAbvExp,highDangerGoalAbvExp,penalityMinutes
8467950,2021,Craig Anderson,BUF,G,31,112035,-8.69,88.31,97,-7.86,114.86,-6.9,-1.13,-0.67,0
8475311,2023,Darcy Kuemper,WSH,G,33,111992,-4.79,98.21,103,-40.24,30.67,-9.02,-6.97,11.2,0
8469608,2020,Mike Smith,EDM,G,32,110793,14.42,85.42,71,0.66,109.72,5.43,0.63,8.37,6
8475683,2020,Sergei Bobrovsky,FLA,G,31,108988,-8.12,79.88,88,-24.91,140.74,0.58,-4.44,-4.27,0
8480947,2021,Kevin Lankinen,CHI,G,32,108935,-28.62,77.38,106,-1.36,111.58,-11.2,-15.85,-1.57,0
8471418,2020,Anton Khudobin,DAL,G,32,107677,-10.01,65.99,76,8.65,85.5,-2.36,-3.25,-4.41,2
8473575,2021,Semyon Varlamov,NYI,G,31,107537,0.7,87.7,87,-27.26,152.71,-1.96,0.39,2.27,0
8477970,2023,Vitek Vanecek,NJD,G,32,107509,-11.15,83.85,95,-25.96,40.54,-1.01,-6.25,-3.89,0
8475809,2023,Scott Wedgewood,DAL,G,32,107348,-9.37,75.63,85,-25.94,80.82,-8.65,-0.39,-0.33,0
8471306,2020,Thomas Greiss,DET,G,34,105309,-5.68,73.32,79,9.67,92.57,-2.29,-5.17,1.77,2
8476914,2020,Joonas Korpisalo,CBJ,G,33,104854,-13.82,82.18,96,2.99,128.39,-6.99,-2.9,-3.93,2
8480382,2021,Alexandar Georgiev,NYR,G,33,104766,-6.84,78.16,85,-15.09,87.09,-6.49,2.42,-2.77,0
8482821,2023,Arvid Soderblom,CHI,G,32,104660,-18.23,95.77,114,-34.02,94,-16.78,-9.3,7.86,0
8481519,2021,Spencer Knight,FLA,G,32,104414,3.99,84.99,81,-13.64,122.03,-1.37,-3.5,8.86,0
8479292,2022,Charlie Lindgren,WSH,G,31,101524,-3.92,82.08,86,-0.44,109.41,-13.96,9.21,0.83,0
8474596,2020,Jake Allen,MTL,G,29,100956,2.27,78.27,76,3.19,120.8,2.39,-2.67,2.55,2
8474682,2021,Dustin Tokarski,BUF,G,29,100286,-10.74,80.26,91,-11.74,127.93,-6.32,-3.92,-0.49,0
8479193,2023,Casey DeSmith,VAN,G,29,99809,-0.42,79.58,80,-39.94,46.4,-1.92,-5.6,7.1,0
8480981,2023,Joel Hofer,STL,G,30,97719,10.33,82.33,72,-33.33,61.94,4.62,-1.71,7.43,4
8477484,2022,Spencer Martin,VAN,G,29,96611,-23.53,83.47,107,-23.7,100.06,-22.27,2.05,-3.3,0
8470880,2020,Brian Elliott,PHI,G,30,96463,-19.32,62.68,82,-5.47,149.56,-10.38,-5.51,-3.43,0
8479979,2020,Jake Oettinger,DAL,G,29,96235,-4.76,58.24,63,1.2,70.45,3.27,-4.43,-3.6,4
8473575,2023,Semyon Varlamov,NYI,G,28,95684,9.14,78.14,69,-36.3,16.03,5.05,-0.45,4.55,0
8478971,2022,Connor Ingram,ARI,G,27,95200,3.68,92.68,89,-18.22,72.87,-3.8,3.31,4.17,2
8471734,2023,Jonathan Quick,NYR,G,27,94964,9.84,78.84,69,-41.47,22.55,1.7,-6.48,14.62,8
8469608,2021,Mike Smith,EDM,G,28,94798,7.39,81.39,74,-1.28,100.43,2.32,0.66,4.41,6
8476341,2023,Anton Forsberg,OTT,G,30,94194,-7.32,76.68,84,-42.29,46.19,-13.8,0.46,6.03,2
8477293,2022,Antti Raanta,CAR,G,27,93673,1.32,59.32,58,-7.65,58.76,-4.42,1.65,4.09,0
8478007,2022,Elvis Merzlikins,CBJ,G,30,93612,-25.87,84.13,110,-22.95,91.97,-15.71,-10.42,0.25,4
8475311,2020,Darcy Kuemper,ARI,G,27,92797,-0.22,65.78,66,-12.75,83.1,-0.82,-2.39,2.98,4
8477293,2021,Antti Raanta,CAR,G,28,90998,3.69,65.69,62,-24.86,95.57,6.56,-3.45,0.58,0
8471306,2021,Thomas Greiss,DET,G,31,90493,-13.5,78.5,92,9.11,102.27,-13.06,-2.93,2.5,2
8476932,2023,Anthony Stolarz,FLA,G,27,90387,20.07,71.07,51,-53.24,45.18,1.56,10.33,8.18,2
8476932,2021,Anthony Stolarz,ANA,G,28,90385,-0.96,66.04,67,6.6,118.3,4.09,-3.06,-1.99,2
8478007,2020,Elvis Merzlikins,CBJ,G,28,89809,-2.84,66.16,69,-9.55,102.62,-3.89,4.54,-3.49,0
8478499,2022,Adin Hill,VGK,G,27,89454,0.87,62.87,62,-16.75,61.86,-0.91,-0.19,1.97,2
8467950,2022,Craig Anderson,BUF,G,26,89402,0.43,76.43,76,-19.38,93.5,-2.08,-3.2,5.72,2
8478435,2022,Dan Vladar,CGY,G,27,89035,-8.41,63.59,72,-2.55,83.49,-13.99,2.53,3.05,2
8471679,2020,Carey Price,MTL,G,25,88725,-1.46,63.54,65,-4.25,92.11,1.32,-4.22,1.45,0
8476904,2021,Chris Driedger,SEA,G,27,88704,-1.56,71.44,73,-12.04,104.93,2.18,0.98,-4.71,4
8477992,2023,Jonas Johansson,TBL,G,26,88649,-8.86,74.14,83,-41.32,62.44,-11.11,-7.69,9.95,0
8471774,2022,Alex Stalock,CHI,G,27,88520,-2.21,71.79,74,-8,20.77,-5.97,-1.27,5.02,6
8476899,2022,Matt Murray,TOR,G,26,88390,0.95,74.95,74,-17.88,64.33,-6.41,5.87,1.49,0
8476341,2022,Anton Forsberg,OTT,G,28,88303,8.08,88.08,80,-23.37,76.92,-1.33,4.24,5.16,2
8479361,2023,Joseph Woll,TOR,G,25,88299,7.17,79.17,72,-34.63,44.94,-7.28,2.96,11.49,0
8479394,2020,Carter Hart,PHI,G,27,87394,-18.25,70.75,89,-6.52,128.06,-6,-4.29,-7.95,2
8479394,2023,Carter Hart,PHI,G,26,87311,-0.7,67.3,68,-17.75,50.09,-11.63,4.02,6.92,0
8470860,2022,Jaroslav Halak,NYR,G,25,87236,1.09,67.09,66,-17.28,72.42,-1.23,-4.09,6.41,0
8475156,2020,Mikko Koskinen,EDM,G,26,86259,-10.18,65.82,76,-3.09,107.94,-3.73,-5.76,-0.7,0
8475883,2020,Frederik Andersen,TOR,G,24,85216,-4.75,65.25,70,11.49,59.49,6.72,-8.11,-3.35,0
8479193,2021,Casey DeSmith,PIT,G,26,85089,-0.62,65.38,66,-15.47,107.69,-1.72,2.58,-1.47,0
8478039,2020,Kaapo Kahkonen,MIN,G,24,84869,-13.08,54.92,68,-2,105.69,-10.17,-5.55,2.65,2
8476899,2020,Matt Murray,OTT,G,27,84251,-15.91,63.09,79,4.03,84.39,-8.72,-0.52,-6.68,2
8481611,2022,Pyotr Kochetkov,CAR,G,24,84236,4.92,61.92,57,-12.2,38.19,-7.06,2.83,9.15,0
8478406,2021,Mackenzie Blackwood,NJD,G,25,83943,-12.74,66.26,79,7.11,122.47,-3.99,-4.4,-4.36,0
8471695,2020,Tuukka Rask,BOS,G,24,83787,3.64,56.64,53,4.84,98.15,-1.7,3.59,1.74,0
8477968,2020,Alex Nedeljkovic,CAR,G,23,83522,9.6,53.6,44,-6.29,81.87,5.99,0.24,3.37,2
8480193,2023,Daniil Tarasov,CBJ,G,24,82588,0.04,73.04,73,-29.67,53.82,-15.6,2.33,13.31,0
8478499,2021,Adin Hill,SJS,G,25,82573,-4.09,56.91,61,7.93,97.94,-2.2,-0.17,-1.71,0
8479496,2023,David Rittich,LAK,G,24,81871,13.82,62.82,49,-21.3,39.56,2.9,3.08,7.84,0
8476904,2020,Chris Driedger,FLA,G,23,81696,2.97,49.97,47,-3.18,58.16,1.37,-1.9,3.5,0
8473503,2023,James Reimer,DET,G,25,81161,-0.25,69.75,70,-28.34,52.48,-4.69,-2.29,6.73,4
8476316,2023,Laurent Brossoit,WPG,G,23,81062,13.07,58.07,45,-21.93,9.88,2.27,4.07,6.73,2
8473575,2022,Semyon Varlamov,NYI,G,23,80084,3.55,63.55,60,-12.56,76.7,-0.83,-0.26,4.65,0
8473503,2020,James Reimer,CAR,G,22,79866,-6.38,52.62,59,-2.39,91.11,3.04,-8.53,-0.89,0
8480051,2023,Cayden Primeau,MTL,G,23,79490,3.58,69.58,66,-19.31,56.68,-3.27,-1.77,8.62,2
8470880,2022,Brian Elliott,TBL,G,22,79484,-4.78,70.22,75,-18.34,112.42,-4.02,-3.21,2.45,0
8474651,2021,Braden Holtby,DAL,G,24,79108,0.67,61.67,61,-2.78,98.82,-2.47,2.59,0.55,2
8471469,2020,Pekka Rinne,NSH,G,24,78628,-9.74,52.26,62,7.16,82.8,-4.63,-3.05,-2.06,0
8473541,2020,Jonathan Bernier,DET,G,24,78387,0.92,65.92,65,-5.46,60.64,-5.48,3.07,3.33,0
8475717,2023,Calvin Pickard,EDM,G,23,77781,0.09,53.09,53,-14.51,40.37,-2.6,-3.65,6.33,2
8482221,2023,Devon Levi,BUF,G,23,77694,10.66,77.66,67,-52.94,46.02,-4.65,1.6,13.7,0
8475789,2020,Jack Campbell,TOR,G,22,77064,8.4,54.4,46,10.35,72.22,3.06,3.89,1.45,0
8476316,2021,Laurent Brossoit,VGK,G,24,76886,-1.32,60.68,62,-3.11,75.41,-4.86,0.56,2.98,0
8478009,2020,Ilya Sorokin,NYI,G,22,76307,2.5,48.5,46,2.22,102.21,-2.06,0.95,3.62,0
8482076,2021,Nico Daws,NJD,G,25,76292,-7.64,58.36,66,1.52,130.81,-9.13,5.38,-3.89,0
8477293,2023,Antti Raanta,CAR,G,24,75911,-9.26,53.74,63,-32.87,52.66,-10.85,-2.76,4.36,0
8474651,2020,Braden Holtby,VAN,G,21,75629,-11.42,65.58,77,6.67,96.97,-0.4,-6.25,-4.77,0
8478435,2021,Dan Vladar,CGY,G,23,74588,-3.81,53.19,57,2.94,94.27,0.41,-3.79,-0.43,0
8471734,2020,Jonathan Quick,L.A,G,22,73129,-5.77,52.23,58,-17.38,86.97,-5.64,-3.68,3.55,0
8480925,2021,Pavel Francouz,COL,G,21,72009,1.94,52.94,51,-4.32,103.91,-1.12,3.61,-0.55,0
